date,AAPL,TSLA
2024-05-12,38,19
2024-05-19,37,19
2024-05-26,32,14
2024-06-02,39,16
2024-06-09,95,27
2024-06-16,50,19
2024-06-23,42,21
2024-06-30,39,36
2024-07-07,49,39
2024-07-14,49,31
2024-07-21,43,43
2024-07-28,59,24
2024-08-04,69,26
2024-08-11,40,20
2024-08-18,35,18
2024-08-25,37,17
2024-09-01,30,17
2024-09-08,43,18
2024-09-15,44,19
2024-09-22,32,23
2024-09-29,33,22
2024-10-06,29,33
2024-10-13,34,21
2024-10-20,32,40
2024-10-27,48,25
2024-11-03,39,51
2024-11-10,35,56
2024-11-17,31,36
2024-11-24,23,24
2024-12-01,35,31
2024-12-08,35,44
2024-12-15,37,52
2024-12-22,29,29
2024-12-29,30,35
2025-01-05,32,30
2025-01-12,34,30
2025-01-19,41,29
2025-01-26,71,43
2025-02-02,47,33
2025-02-09,38,40
2025-02-16,32,26
2025-02-23,37,48
2025-03-02,37,55
2025-03-09,45,100
2025-03-16,32,90
2025-03-23,29,66
2025-03-30,66,86
2025-04-06,100,75
2025-04-13,59,35
2025-04-20,44,69
2025-04-27,56,38
2025-05-04,38,28
2025-05-11,43,40
2025-05-18,8,8
